[2026-08-25T16:29:38.415Z] [ERROR] POST /api/users/login 401 - Invalid email or password
[2026-08-25T16:29:55.554Z] [ERROR] POST /api/users/login 401 - Invalid email or password
[2026-08-25T16:29:56.016Z] [ERROR] POST /api/users/login 401 - Invalid email or password
[2026-08-25T16:34:33.458Z] [ERROR] POST /api/users 409 - Email already exists
[2026-08-25T16:35:52.317Z] [ERROR] POST /api/users/login 401 - Invalid email or password
[2026-08-25T17:14:10.047Z] [ERROR] POST /api/products 400 - Bad Request Exception
[2026-08-25T17:14:28.374Z] [ERROR] POST /api/products 400 - Bad Request Exception
[2026-08-25T17:14:32.132Z] [ERROR] POST /api/products 400 - Bad Request Exception
[2026-08-25T17:17:32.667Z] [ERROR] POST /api/products 400 - Bad Request Exception
[2026-08-25T17:17:37.772Z] [ERROR] POST /api/products 400 - Bad Request Exception
[2026-08-25T17:17:41.657Z] [ERROR] POST /api/products 400 - Bad Request Exception
[2026-08-25T17:18:13.067Z] [ERROR] POST /api/products 400 - Bad Request Exception
[2026-08-25T17:18:57.243Z] [ERROR] POST /api/products 400 - Bad Request Exception
[2026-08-28T04:16:47.591Z] [ERROR] GET /api/suppliers/0ccceb67-958d-4957-9728-e023994a8e8d/documents 404 - Cannot GET /api/suppliers/0ccceb67-958d-4957-9728-e023994a8e8d/documents
[2026-08-28T04:17:09.178Z] [ERROR] GET /api/suppliers/0ccceb67-958d-4957-9728-e023994a8e8d/documents 404 - Cannot GET /api/suppliers/0ccceb67-958d-4957-9728-e023994a8e8d/documents
[2026-08-28T04:17:12.737Z] [ERROR] GET /api/suppliers/0ccceb67-958d-4957-9728-e023994a8e8d/documents 404 - Cannot GET /api/suppliers/0ccceb67-958d-4957-9728-e023994a8e8d/documents
[2026-08-28T04:18:25.453Z] [ERROR] GET /api/suppliers/0ccceb67-958d-4957-9728-e023994a8e8d/documents 404 - Cannot GET /api/suppliers/0ccceb67-958d-4957-9728-e023994a8e8d/documents
[2026-08-28T04:18:30.564Z] [ERROR] GET /api/suppliers/0ccceb67-958d-4957-9728-e023994a8e8d/documents 404 - Cannot GET /api/suppliers/0ccceb67-958d-4957-9728-e023994a8e8d/documents
[2026-08-28T04:19:04.358Z] [ERROR] GET /api/suppliers/0ccceb67-958d-4957-9728-e023994a8e8d/documents 404 - Cannot GET /api/suppliers/0ccceb67-958d-4957-9728-e023994a8e8d/documents
[2026-08-28T04:19:07.998Z] [ERROR] GET /api/suppliers/0ccceb67-958d-4957-9728-e023994a8e8d/documents 404 - Cannot GET /api/suppliers/0ccceb67-958d-4957-9728-e023994a8e8d/documents
[2026-08-28T04:19:27.920Z] [ERROR] GET /api/suppliers/0ccceb67-958d-4957-9728-e023994a8e8d/documents 404 - Cannot GET /api/suppliers/0ccceb67-958d-4957-9728-e023994a8e8d/documents
[2026-08-28T04:19:41.929Z] [ERROR] GET /api/suppliers/0ccceb67-958d-4957-9728-e023994a8e8d/documents 404 - Cannot GET /api/suppliers/0ccceb67-958d-4957-9728-e023994a8e8d/documents
[2026-08-28T04:19:45.248Z] [ERROR] GET /api/suppliers/0ccceb67-958d-4957-9728-e023994a8e8d/documents 404 - Cannot GET /api/suppliers/0ccceb67-958d-4957-9728-e023994a8e8d/documents
[2026-08-28T04:20:05.142Z] [ERROR] GET /api/suppliers/0ccceb67-958d-4957-9728-e023994a8e8d/documents 404 - Cannot GET /api/suppliers/0ccceb67-958d-4957-9728-e023994a8e8d/documents
[2026-08-28T04:20:16.394Z] [ERROR] GET /api/suppliers/0ccceb67-958d-4957-9728-e023994a8e8d/documents 404 - Cannot GET /api/suppliers/0ccceb67-958d-4957-9728-e023994a8e8d/documents
[2026-08-28T04:20:20.242Z] [ERROR] GET /api/suppliers/0ccceb67-958d-4957-9728-e023994a8e8d/documents 404 - Cannot GET /api/suppliers/0ccceb67-958d-4957-9728-e023994a8e8d/documents
[2026-08-28T04:20:40.426Z] [ERROR] GET /api/suppliers/0ccceb67-958d-4957-9728-e023994a8e8d/documents 404 - Cannot GET /api/suppliers/0ccceb67-958d-4957-9728-e023994a8e8d/documents
[2026-08-28T04:20:43.728Z] [ERROR] GET /api/suppliers/0ccceb67-958d-4957-9728-e023994a8e8d/documents 404 - Cannot GET /api/suppliers/0ccceb67-958d-4957-9728-e023994a8e8d/documents
[2026-08-28T04:20:47.969Z] [ERROR] GET /api/suppliers/0ccceb67-958d-4957-9728-e023994a8e8d/documents 404 - Cannot GET /api/suppliers/0ccceb67-958d-4957-9728-e023994a8e8d/documents
